Series Code,Country Name,2015 [YR2015],Continent,HDI
NY.GDP.PCAP.PP.CD,Afghanistan,2087.305323,Asia,0.49
NY.GDP.PCAP.PP.CD,Albania,11661.97687,Europe,0.788
NY.GDP.PCAP.PP.CD,Algeria,12015.64908,Africa,0.751
NY.GDP.PCAP.PP.CD,American Samoa,..,Oceania,
NY.GDP.PCAP.PP.CD,Andorra,..,Europe,0.85
NY.GDP.PCAP.PP.CD,Angola,7337.569559,Africa,0.565
NY.GDP.PCAP.PP.CD,Antigua and Barbuda,18912.31748,North America,0.77
NY.GDP.PCAP.PP.CD,Argentina,20105.19899,South America,0.828
NY.GDP.PCAP.PP.CD,Armenia,9969.685301,Europe,0.748
NY.GDP.PCAP.PP.CD,Aruba,36765.11607,North America,
NY.GDP.PCAP.PP.CD,Australia,46276.15069,Oceania,0.933
NY.GDP.PCAP.PP.CD,Austria,49879.26647,Europe,0.906
NY.GDP.PCAP.PP.CD,Azerbaijan,14938.40113,Europe,0.749
NY.GDP.PCAP.PP.CD,Bahrain,45686.24664,Asia,0.834
NY.GDP.PCAP.PP.CD,Bangladesh,3555.50551,Asia,0.588
NY.GDP.PCAP.PP.CD,Barbados,15510.82429,North America,0.812
NY.GDP.PCAP.PP.CD,Belarus,18041.2425,Europe,0.811
NY.GDP.PCAP.PP.CD,Belgium,46213.26653,Europe,0.913
NY.GDP.PCAP.PP.CD,Belize,7244.391078,North America,0.715
NY.GDP.PCAP.PP.CD,Benin,2886.831867,Africa,0.51
NY.GDP.PCAP.PP.CD,Bermuda,..,North America,
NY.GDP.PCAP.PP.CD,Bhutan,9500.768189,Asia,0.606
NY.GDP.PCAP.PP.CD,Bolivia,7133.874461,South America,
NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,12013.91994,Europe,0.755
NY.GDP.PCAP.PP.CD,Botswana,15547.17588,Africa,0.714
NY.GDP.PCAP.PP.CD,Brazil,14744.11291,South America,0.755
NY.GDP.PCAP.PP.CD,British Virgin Islands,..,North America,
NY.GDP.PCAP.PP.CD,Brunei Darussalam,62541.68036,Asia,0.843
NY.GDP.PCAP.PP.CD,Bulgaria,18341.96059,Europe,0.807
NY.GDP.PCAP.PP.CD,Burkina Faso,1713.519379,Africa,0.413
NY.GDP.PCAP.PP.CD,Burundi,841.6463572,Africa,0.427
NY.GDP.PCAP.PP.CD,Cambodia,3388.73742,Asia,0.566
NY.GDP.PCAP.PP.CD,Cameroon,3260.524969,Africa,0.548
NY.GDP.PCAP.PP.CD,Canada,44671.44068,North America,0.917
NY.GDP.PCAP.PP.CD,Cayman Islands,64230.41201,North America,
NY.GDP.PCAP.PP.CD,Central African Republic,787.0130816,Africa,0.362
NY.GDP.PCAP.PP.CD,Chad,1820.059393,Africa,0.403
NY.GDP.PCAP.PP.CD,Chile,22688.01003,South America,0.839
NY.GDP.PCAP.PP.CD,China,12978.76857,Asia,0.742
NY.GDP.PCAP.PP.CD,Colombia,13265.79726,South America,0.753
NY.GDP.PCAP.PP.CD,Comoros,2709.600878,Africa,0.535
NY.GDP.PCAP.PP.CD,Costa Rica,16586.35303,North America,0.786
NY.GDP.PCAP.PP.CD,Cote d'Ivoire,4652.890621,Africa,
NY.GDP.PCAP.PP.CD,Croatia,23013.49805,Europe,0.83
NY.GDP.PCAP.PP.CD,Cuba,..,North America,0.768
NY.GDP.PCAP.PP.CD,Cyprus,31722.21621,Europe,0.864
NY.GDP.PCAP.PP.CD,Czech Republic,33691.42424,Europe,
NY.GDP.PCAP.PP.CD,Denmark,49058.50107,Europe,0.926
NY.GDP.PCAP.PP.CD,Djibouti,4574.474876,Africa,0.482
NY.GDP.PCAP.PP.CD,Dominica,11139.94898,North America,0.729
NY.GDP.PCAP.PP.CD,Dominican Republic,14740.8197,North America,0.733
NY.GDP.PCAP.PP.CD,Ecuador,11060.28763,South America,0.758
NY.GDP.PCAP.PP.CD,El Salvador,7597.68557,North America,0.66
NY.GDP.PCAP.PP.CD,Equatorial Guinea,24042.49709,Africa,0.593
NY.GDP.PCAP.PP.CD,Eritrea,..,Africa,0.433
NY.GDP.PCAP.PP.CD,Estonia,29397.12984,Europe,0.871
NY.GDP.PCAP.PP.CD,Ethiopia,1657.345099,Africa,0.453
NY.GDP.PCAP.PP.CD,Faroe Islands,..,Europe,
NY.GDP.PCAP.PP.CD,Fiji,12412.42213,Oceania,0.718
NY.GDP.PCAP.PP.CD,Finland,42509.13131,Europe,0.919
NY.GDP.PCAP.PP.CD,France,40860.91122,Europe,0.888
NY.GDP.PCAP.PP.CD,French Polynesia,..,Oceania,
NY.GDP.PCAP.PP.CD,Gabon,14699.56624,Africa,0.692
NY.GDP.PCAP.PP.CD,Georgia,12089.16941,Europe,0.771
NY.GDP.PCAP.PP.CD,Germany,47683.7886,Europe,0.933
NY.GDP.PCAP.PP.CD,Ghana,5117.337095,Africa,0.585
NY.GDP.PCAP.PP.CD,Gibraltar,..,Europe,
NY.GDP.PCAP.PP.CD,Greece,26902.52532,Europe,0.868
NY.GDP.PCAP.PP.CD,Greenland,..,North America,
NY.GDP.PCAP.PP.CD,Grenada,14152.41757,North America,0.756
NY.GDP.PCAP.PP.CD,Guam,..,Oceania,
NY.GDP.PCAP.PP.CD,Guatemala,8194.440681,North America,0.647
NY.GDP.PCAP.PP.CD,Guinea,1819.363616,Africa,0.449
NY.GDP.PCAP.PP.CD,Guinea-Bissau,1597.208851,Africa,0.453
NY.GDP.PCAP.PP.CD,Guyana,8365.612084,South America,0.663
NY.GDP.PCAP.PP.CD,Haiti,1704.930581,North America,0.492
NY.GDP.PCAP.PP.CD,Honduras,4823.389044,North America,0.613
NY.GDP.PCAP.PP.CD,Hungary,26668.04088,Europe,0.835
NY.GDP.PCAP.PP.CD,Iceland,48854.34544,Europe,0.927
NY.GDP.PCAP.PP.CD,India,5464.859141,Asia,0.627
NY.GDP.PCAP.PP.CD,Indonesia,10247.20638,Asia,0.696
NY.GDP.PCAP.PP.CD,Iraq,10391.77771,Asia,0.665
NY.GDP.PCAP.PP.CD,Ireland,69056.04604,Europe,0.926
NY.GDP.PCAP.PP.CD,Isle of Man,..,Europe,
NY.GDP.PCAP.PP.CD,Israel,35436.81087,Asia,0.901
